168 : 
1 : acquired
1 : acquisition
1 : advanced
1 : advent
1 : advises
1 : against
1 : allowed
1 : almost
1 : also
1 : although
1 : announced
1 : any
1 : anywhere
1 : applets
1 : approached
1 : aside
1 : became
1 : because
1 : been
1 : begun
1 : body
1 : browser
1 : browsers
1 : builds
1 : built
1 : bytecode
1 : cable
1 : called
1 : capabilities
1 : centers
1 : charge
1 : client
1 : commercial
1 : commitment
1 : community
1 : compiler
1 : compilers
1 : compliance
1 : comply
1 : component
1 : computer
1 : configurable
1 : configurations
1 : consoles
1 : controlled
1 : copyright
1 : creation
1 : creator
1 : data
1 : de
1 : default
1 : dependencies
1 : described
1 : desktop
1 : despite
1 : developed
1 : different
1 : digital
1 : discontinue
1 : distribution
1 : distributions
1 : due
1 : early
1 : either
1 : enterprise
1 : evangelist
1 : everything
1 : execute
1 : facilities
1 : facto
1 : featured
1 : featuring
1 : few
1 : fewer
1 : file
1 : filing
1 : finally
1 : find
1 : finished
1 : first
1 : five
1 : formalize
1 : fostering
1 : functionality
1 : game
1 : general
1 : generated
1 : goals
1 : graph
1 : high
1 : highly
1 : hold
1 : however
1 : ideal
1 : immediately
1 : implementations
1 : included
1 : incorporated
1 : indefinitely
1 : index
1 : industry
1 : initiated
1 : inside
1 : intended
1 : interactive
1 : interpreted
1 : issues
1 : itself
1 : laptops
1 : last
1 : later
1 : lawsuit
1 : legacy
1 : let
1 : level
1 : libraries
1 : long
1 : longer
1 : low
1 : machines
1 : made
1 : making
1 : marketing
1 : mascotSee
1 : meaning
1 : mid
1 : million
1 : mobile
1 : modification
1 : much
1 : multiple
1 : name
1 : need
1 : network
1 : neutral
1 : oak
1 : offer
1 : offers
1 : office
1 : official
1 : once
1 : optimized
1 : or
1 : original
1 : otherotherwise
1 : others
1 : outdated
1 : outside
1 : own
1 : pages
1 : participation
1 : particularly
1 : performance
1 : personal
1 : plugin
1 : popularity
1 : portable
1 : portion
1 : possible
1 : president
1 : prevent
1 : primary
1 : products
1 : programmers
1 : promised
1 : provides
1 : providing
1 : purpose
1 : purposes
1 : quickly
1 : re
1 : receiving
1 : recommend
1 : recompilation
1 : reflection
1 : regard
1 : regardless
1 : release
1 : relentless
1 : relicensed
1 : remains
1 : reported
1 : resigned
1 : respectively
1 : restrictions
1 : revenue
1 : risks
1 : robust
1 : role
1 : runs
1 : said
1 : scientific
1 : section
1 : see
1 : selling
1 : serious
1 : shortly
1 : similar
1 : simple
1 : since
1 : small
1 : softwaresource
1 : specialized
1 : specification
1 : specifications
1 : standard
1 : standards
1 : status
1 : steadily
1 : steward
1 : stood
1 : strictly
1 : style
1 : system
1 : technology
1 : term
1 : than
1 : their
1 : them
1 : threaded
1 : times
1 : too
1 : top
1 : traditional
1 : transition
1 : transparency
1 : tree
1 : types
1 : underlying
1 : uninstalling
1 : unresolved
1 : update
1 : updates
1 : upgrades
1 : used
1 : users
1 : using
1 : van
1 : vendors
1 : vice
1 : went
1 : while
1 : withdrew
1 : within
1 : would
1 : write
1 : written
1 : §
1 : –
